序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
1259,SY116,MK组,2020-12-30 00:00:00,2021年1月5日,分离器,4640.00-4680.00,17/100,24.34,37.48,无色,无气味,0,透明,无,0.6955,17.0819,7.2469,3.4505,0,0,0,0,28,31.221,14.4355,0,/,0,3.448,0.6544,49.7589,77.7589,/,0,0,0,0.84448100010723,-0.454790429874911,,0.475664921783747,,氯化镁,0.9983,5.78,,,,,,,,,,,,,,,
1260,SY116,MK组,2021-01-03 00:00:00,2021年1月6日,分离器,4640.00-4680.00,17/100,24.72,27.44,无色,无气味,0,透明,无,3.554,40.2444,26.8332,6.2755,0,0,0,0,77,35.5707,30.9344,0,/,0,6.8008,17.8455,91.1514,168.1514,/,8,12,46,1.74627872158094,1.16028494741392,,-1.42987485767194,,碳酸氢钠,1.007,5.996,,,,,,,,,,,,,,,
1261,SY116,MK组,2021-01-09 00:00:00,2021-01-12 00:00:00,分离器,4640.00-4680.00,17/100,24.5,27.37,无色,无气味,0,透明,无,3.7148,26.9488,20.2611,5.7868,0,0,0,0,56.7115,31.0852,14.8338,0,/,0,4.1376,2.6274,52.684,109.3955,/,9,0,7,1.33809294958764,0.957966330629849,,-0.613909282993062,,硫酸钠,1.0081,6.105,,,,,,,,,,,,,,,
1262,SY116,MK组,2021-01-17 00:00:00,2021年1月19日,分离器,4640.00-4680.00,17/100,43.1,27.36,无色,无气味,0,透明,无,6.6925,43.486,33.5746,10.7414,0,0.8202,0,0,95.3147,55.7757,16.2461,0,/,0,1.7071,0,73.7289,169.0436,/,0,0,0,1.2033859844372,0.944125686683716,,-0.356991647234819,,硫酸钠,1.0068,5.988,,,,,,,,,,,,,,,
1263,SY116,MK组,2021-01-24 00:00:00,2021年1月25日,分离器,4640.00-4680.00,17/100,26.34,27.34,无色,无气味,0,透明,无,3.2686,20.5783,61.7017,44.0436,0,0,0,0,130,190.1473,8.3285,0,/,0,3.9859,0,202.4617,332.4617,/,0,0,0,0.16703975652377,-25.7134606779832,,1.21558272516656,,氯化钙,0.9999,5.72,,,,,,,,,,,,,,,
1264,SY116,MK组,2021-02-07 00:00:00,2021年2月8日,分离器,4640.00-4680.00,17/100,26.19,27.26,无色,硫化氢味,0,透明,无,124,558,1995,1450,28,0,0,62,4217,6214,0,0,/,0,19.6591,7,6240.6591,10457.6591,/,26,20,103,0.138600075565693,0,,1.24784593618684,,氯化钙,1.0088,5.44,,,,,,,,,,,,,,,
1265,SY116,MK组,2021-02-09 00:00:00,2021年2月23日,分离器,4640.00-4680.00,17/100,28.04,27.31,无色,无气味,0,透明,无,8.3898,82.6287,88.7793,29.9556,0,0,0,0,210,198,34.1624,0,/,0,3.2802,8.7371,244.1797,454.1797,/,15,16,48,0.644119202898551,-2.78890843475074,,0.795141855874435,,氯化镁,1.0156,5.551,,,,,,,,,,,,,,,
1266,SY116,MK组,2021-02-14 00:00:00,2021年2月23日,分离器,4640.00-4680.00,17/100,25.73,27.22,无色,硫化氢味,0,透明,无,95.9687,302.065,987.4229,717.9425,0,0.5041,0,0,2104,2981.0056,31.5421,0,/,0,14.0754,0,3026.6231,5130.6231,/,12,18,103,0.156400498163964,-107.800651745312,,1.18402899167266,,氯化钙,1.0069,5.48,,,,,,,,,,,,,,,
1267,SY116,MK组,2021-02-17 00:00:00,2021年2月23日,分离器,4640.00-4680.00,17/100,26.82,27.19,灰色,无气味,0,不透明,无,5.9585,46.0968,91.0911,51.979,0,0,0,0,195.1254,199,11.0194,0,/,0,5.5154,0,215.5348,410.6602,/,0,0,0,0.357534717063579,-15.6876422621837,,0.831433873025197,,氯化镁,1.0022,5.529,,,,,,,,,,,,,,,
1268,SY116,MK组,2021-01-21 00:00:00,2021年2月23日,分离器,4640.00-4680.00,17/100,27.89,27.25,无色,硫化氢味,0,半透明,无,25.7722,378.6824,1304.8365,952.063,0,1,0,0,2663,3812.4751,143.5507,0,/,0,16.0878,0,3972.1136,6635.1136,/,0,0,0,0.153309342839751,-30.4046041260079,,1.14609070132736,,氯化钙,1.0042,5.154,,,,,,,,,,,,,,,
1269,SY116,MK组,2021-02-27 00:00:00,2021年3月3日,分离器,4640.00-4680.00,17,27.55,27.17,无色,硫化氢味,0,透明,无,28.9524,381.5062,1368.6405,1004.5792,0,0.6424,0,0,2784,3879.83,33.4164,0,/,0,15.4777,0,3928.7241,6712.7241,/,7,12,35,0.151771218348989,-133.161575506929,,1.10737422986902,,氯化钙,1.0079,5.434,,,,,,,,,,,,,,,
1270,SY116,MK组,2021-03-02 00:00:00,2021年3月9日,分离器,4640.00-4680.00,18/100,27.14,27.11,无色,硫化氢味,0,透明,无,10.1262,151.0609,436.6623,307.0245,0,0,0,0,905,1233.9466,42.7837,0,/,0,4.6614,3.1628,1284.5545,2189.5545,/,0,0,0,0.188954056210691,-31.6283376379751,,1.10184798688854,,氯化钙,1.0017,5.448,,,,,,,,,,,,,,,
1271,SY116,MK组,2021-03-07 00:00:00,2021年3月9日,分离器,4640.00-4680.00,18/100,27.14,27.13,无色,硫化氢味,0,透明,无,14.646,145.0517,426.269,297.3099,0,0,0,0,883,1154.0061,42.1178,0,/,0,4.336,4.0533,1204.5132,2087.5132,/,0,0,0,0.194006033115574,-29.8598142531659,,1.05750740620476,,氯化钙,1.0023,5.498,,,,,,,,,,,,,,,
1272,SY116,MK组,2021-03-13 00:00:00,2021-03-17 00:00:00,分离器,4640.00-4680.00,17/100,27.53,27.13,无色,硫化氢味,0,透明,无,25.0674,391.5666,1275.4617,936.1679,19.0195,0,0,24.299,2671.5821,3814.6833,0,0,/,0,0,4.0029,3818.6862,6490.2683,/,0,0,0,0.158433738072728,0,,1.15916684803688,,氯化钙,1.0045,5.44,,,,,,,,,,,,,,,
1273,SY116,MK组,2021-03-17 00:00:00,2021年3月23日,分离器,4640.00-4680.00,17/100,27.6,27.1,无色,硫化氢味,0,透明,无,19.081,315.6683,1133.7379,809.0672,0,0,0,0,2278,3279.2915,20.3418,0,/,0,12.1605,2.8741,3314.6679,5592.6679,/,0,0,0,0.148576958985089,-185.587587541048,,1.16652411203992,,氯化钙,1.0037,5.367,,,,,,,,,,,,,,,
1274,SY116,MK组,2021-03-21 00:00:00,2021年3月23日,分离器,4640.00-4680.00,17/100,27.48,27.09,无色,硫化氢味,0,透明,无,19.1872,320.8428,1165.9189,828.7684,0,0,0,0,2335,3348.1683,95.572,0,/,0,12.7373,3.352,3459.8296,5794.8296,/,0,0,0,0.14790591230331,-40.3624055799497,,1.16362901447707,,氯化钙,1.0038,5.114,,,,,,,,,,,,,,,
1275,SY116,MK组,2021-03-26 00:00:00,2021-03-30 00:00:00,分离器,4640.00-4680.00,17/100,27.04,27.04,无色,硫化氢味,0,透明,无,6.8923,99.987,330.8814,236.0272,0,0,0,0,673.7879,955.1001,19.719,0,/,0,5.8762,1.5154,982.2107,1655.9986,/,0,0,0,0.161582813015688,-54.908181468307,,1.14683226167741,,氯化钙,1.0006,5.466,,,,,,,,,,,,,,,
1276,SY116,MK组,2021-04-03 00:00:00,2021年4月6日,分离器,4640.00-4680.00,17/100,27,27.02,无色,硫化氢味,0,透明,无,12.0529,182.3252,631.2203,434.005,0,0,0,0,1260,1754.4594,39.0761,0,/,0,5.9935,4.1655,1803.6945,3063.6945,/,0,0,0,0.160399826071037,-50.9703381132919,,1.14729209867905,,氯化钙,1.0019,5.556,,,,,,,,,,,,,,,
1277,SY116,MK组,2021-04-10 00:00:00,2021年4月12日,分离器,4640.00-4680.00,17/100,27.01,26.99,无色,硫化氢味,0,透明,无,20.073,305.3531,1096.2162,799.4342,0,0.4968,0,0,2222,3267.9611,89.2561,0,/,0,0,2.6985,3359.9157,5581.9157,/,/,11,/,0.144220159701145,-42.3656532684125,,1.1825216461501,,氯化钙,1.0038,5.633,,,,,,,,,,,,,,,
1278,SY116,MK组,2021-04-18 00:00:00,2021年4月20日,分离器,4640.00-4680.00,17/100,27.01,26.95,黑色,硫化氢味,0,不透明,无,14.2433,339.9333,1052.3014,768.1877,0,5.678,0,0,2180,3227.8616,28.9946,0,/,0,25.0626,1.0386,3282.9574,5462.9574,/,/,11,/,0.162547136065453,-126.05818216234,,1.1894900714123,,氯化钙,1.004,5.12,,,,,,,,,,,,,,,
1279,SY116,MK组,2021-04-25 00:00:00,2021-04-29 00:00:00,分离器,4640.00-4680.00,17/100,27.18,26.94,灰色,硫化氢味,0,半透明,黑色沉淀,20.0819,266.415,912.8233,662.3355,11.068,0,0,44.3121,1917.0358,3181.534,0,0,/,0,19.5321,6.5754,3207.6415,5124.6773,/,/,9,/,0.129247639933933,0,,1.41385896157049,,氯化钙,1.0035,6.146,,,,,,,,,,,,,,,
1280,SY116,MK组,2021-04-29 00:00:00,2021年5月6日,分离器,4640.00-4680.00,17/100,27.12,26.9,无色,硫化氢味,0,透明,无,20.0353,274.6169,919.5453,666.0042,0,0,0,0,1880,2802.6566,33.5751,0,/,0,0,1.6855,2837.9172,4717.9172,/,/,8,/,0.151236942555642,-95.7970038825849,,1.20734748559325,,氯化钙,1.0033,5.457,,,,,,,,,,,,,,,
1281,SY116,MK组,2021-05-02 00:00:00,2021年5月11日,分离器,4640.00-4680.00,17/100,27.18,26.89,无色,硫化氢味,0,透明,无,14.2803,223.3596,643.7469,467.0921,0,0,0,0,1348,2083.3067,192.3235,0,/,0,0,0,2275.6302,3623.6302,/,/,10,/,0.165482445266711,-12.222758130286,,1.25816922576407,,氯化钙,1.0021,5.332,,,,,,,,,,,,,,,
1282,SY116,MK组,2021-05-08 00:00:00,2021年5月12日,分离器,4640.00-4680.00,17/100,26.83,26.84,灰色,硫化氢味,0,不透明,无,18.2158,290.6037,935.2472,674.7237,0,4.0848,0,0,1923,2875.5271,28.2965,0,/,0,0,1.0458,2904.8694,4827.8694,/,/,9,/,0.155985486444646,-115.970503606347,,1.21589005814417,,氯化钙,1.0033,5.16,,,,,,,,,,,,,,,
1283,SY116,MK组,2021-05-15 00:00:00,2021-05-19 00:00:00,分离器,4640.00-4680.00,17/100,26.95,26.82,无色,硫化氢味,0,透明,无,16.0717,249.7485,891.3106,654.8275,10.4123,0.3717,0,19.872,1842.6143,2627.9134,0,0,/,0,0.5033,0.5926,2629.0093,4471.6236,/,/,4,/,0.146687246404232,0,,1.15756468644366,,氯化钙,1.003,5.318,,,,,,,,,,,,,,,
1284,SY116,MK组,2021-05-23 00:00:00,2021年5月25日,分离器,4640.00-4680.00,17/100,26.74,26.8,黑色,硫化氢味,0,不透明,少量黑色沉淀,12.8378,211.396,674.3438,471.8656,0,0,0,0,1370,1923.4978,63.4177,0,/,0,16.5308,2.8841,2006.3304,3376.3304,/,/,6,/,0.169631143032647,-34.0537656975405,,1.14418782428562,,氯化钙,1.003,5.414,,,,,,,,,,,,,,,
1285,SY116,MK组,2021-05-30 00:00:00,2021年6月2日,分离器,4640.00-4680.00,17/100,26.62,26.74,灰白色,硫化氢味,0,半透明,无,17.1002,256.0469,927.7555,661.1115,0,0,0,0,1862,2539.8853,87.4521,0,/,0,21.878,1.0474,2650.2628,4512.2628,/,/,7,/,0.155598689402645,-33.1593222121947,,1.09658218093055,,氯化钙,1.0019,5.234,,,,,,,,,,,,,,,
1286,SY116,MK组,2021-06-05 00:00:00,2021-06-09 00:00:00,分离器,4640.00-4680.00,17/100,26.66,26.71,灰黑色,硫化氢味,0,不透明,无,18.463,254.0133,926.7635,665.154,7.9613,0.6011,0,24.8642,1897.8204,2686.4429,0,0,/,0,16.1707,0,2702.6136,4600.434,/,/,4,/,0.145941686131404,0,,1.16599268197593,,氯化钙,1.0033,6.285,,,,,,,,,,,,,,,
1287,SY116,MK组,2021-06-12 00:00:00,2021年6月15日,分离器,4640.00-4680.00,17/100,26.67,26.66,无色,硫化氢味,0,透明,无,20.6105,289.406,939.8943,680.887,0,0.8928,0,0,1932,2706.8515,88.535,0,/,0,17.5224,19.0381,2831.947,4763.947,/,/,7,/,0.165022672860043,-34.5173150304589,,1.12206228280966,,氯化钙,1.0033,5.048,,,,,,,,,,,,,,,
1288,SY116,MK组,2021-06-18 00:00:00,2021年6月22日,分离器,4646.00-4680.00,17/100,26.51,26.62,灰黑色,硫化氢味,0,不透明,无,19,268,898,651,0,0.775,0,0,1837,2536,61,0,/,0,21,0,2618,4455,/,/,0,/,0.163112055959402,-47.0434983385703,,1.10201743419846,,氯化钙,1.002,5.271,,,,,,,,,,,,,,,
1289,SY116,MK组,2021-06-26 00:00:00,2021年7月1日,分离器,4646.00-4680.00,17/100,26.47,26.59,无色,硫化氢味,0,透明,无,14.0825,235.1804,790.8981,585.8167,0,0,0,0,1626,2454.6145,106.769,0,/,0,0,0.1377,2561.5212,4187.5212,/,/,4,/,0.14788303205355,-26.4880640515175,,1.20690657620228,,氯化钙,1.0028,5.176,,,,,,,,,,,,,,,
1290,SY116,MK组,2021-06-29 00:00:00,2021年7月1日,分离器,4646.00-4680.00,17/100,26.46,26.58,无色,硫化氢味,0,透明,无,14.4429,237.2466,811.7426,592.1068,0,0,0,0,1656,2544.4478,28.9079,0,/,0,0,0,2573.3557,4229.3557,/,/,3,/,0.143915300429908,-101.884148790235,,1.24354963699675,,氯化钙,1.0027,5.19,,,,,,,,,,,,,,,
1291,SY116,MK组,2021-07-04 00:00:00,2021年7月12日,分离器,4640.00-4680.00,17/100,26.31,26.55,无色,硫化氢味,0,透明,无,14.2544,236.8978,797.9445,576.317,0,0,0,0,1625,2378.6941,39.437,0,/,0,3.5401,6.5402,2428.2114,4053.2114,/,/,6,/,0.15371737137105,-69.0181057477691,,1.1807160973799,,氯化钙,1.0028,5.322,,,,,,,,,,,,,,,
1292,SY116,MK组,2021-07-20 00:00:00,2021年7月22日,分离器,4640.00-4680.00,15/100,9.72,27.08,灰色,硫化氢味,0,不透明,灰色沉淀,8,43,51,25,0,6,0,0,133,90,31,0,0,0,103,6.5402,230.5402,363.5402,/,/,0,/,0.73743961352657,-1.03067775517057,,0.319510104102878,,氯化镁,0.9997,3.801,,,,,,,,,,,,,,,
1293,SY116,MK组,2021-07-21 00:00:00,2021年7月22日,分离器,4640.00-4680.00,15/100,9.68,27.08,灰色,硫化氢味,0,不透明,无,4,40,41,18,0,3,0,0,106,10,39,0,0,0,103,19,171,277,/,/,0,/,6.17391304347826,1.79377266946159,,-0.971626862625025,,碳酸氢钠,0.9998,3.637,,,,,,,,,,,,,,,
1294,SY116,MK组,2021-07-20 00:00:00,2021年7月22日,分离器,4640.00-4680.00,15/100,9.72,27.08,灰色,硫化氢味,0,不透明,灰色沉淀,8,43,51,25,0,6,0,0,133,90,31,0,0,0,103,6.5402,230.5402,363.5402,/,/,0,/,0.73743961352657,-1.03067775517057,,0.319510104102878,,氯化镁,0.9997,3.801,,,,,,,,,,,,,,,
1295,SY116,MK组,2021-07-21 00:00:00,2021年7月22日,分离器,4640.00-4680.00,15/100,9.68,27.08,灰色,硫化氢味,0,不透明,无,4,40,41,18,0,3,0,0,106,10,39,0,0,0,103,19,171,277,/,/,0,/,6.17391304347826,1.79377266946159,,-0.971626862625025,,碳酸氢钠,0.9998,3.637,,,,,,,,,,,,,,,
1296,SY116,MK组,2021-07-23 00:00:00,2021年7月29日,分离器,4640.00-4680.00,15/100,9.52,11.07,灰白色,硫化氢味,0,半透明,无,1.5312,14.1027,14.7056,5.9475,0,0,0,0,36,25.0172,20.2875,0,0,0,74.1999,9.855,129.3596,165.3596,/,/,0,/,0.870089812991271,-0.216603894038506,,0.184714228680378,,氯化镁,0.9999,3.603,,,,,,,,,,,,,,,
1297,SY116,MK组,2021-07-30 00:00:00,2021年8月6日,分离器,4640.00-4680.00,17/100,8.97,27.3,黑色,硫化氢味,0,不透明,黑色沉淀,8.5706,76.5373,109.7301,36.3279,0,0,0,0,231,75.8608,89.745,0,/,0,339.4233,32.0929,537.122,768.122,/,/,0,/,1.55724245849836,0.636889721940272,,-0.393345528474875,,硫酸钠,1.0046,5.133,,,,,,,,,,,,,,,
1298,SY116,MK组,2021-08-08 00:00:00,2021年8月13日,分离器,4640.00-4680.00,17/100,8.41,27.23,黑色,硫化氢味,0,不透明,无,9.7743,91.6535,83.6413,28.8574,0,0,0,0,214,106.4259,77.2716,0,/,0,270.2851,15.1805,469.1631,683.1631,/,/,13,/,1.32923644322114,0.61312385293579,,-0.410441178991465,,硫酸钠,1.0029,5.161,,,,,,,,,,,,,,,
1299,SY116,MK组,2021-08-14 00:00:00,2021年8月19日,分离器,4640.00-4680.00,17/100,8.9,27.21,黑色,硫化氢味,0,不透明,黑色沉淀,4.6116,54.17,68.1078,25.7036,0,0,0,0,153,61.277,83.9505,0,/,0,210.196,7.4726,362.8961,515.8961,/,/,9,/,1.36446329603774,0.359700375005562,,-0.293704250882216,,硫酸钠,1.0019,5.081,,,,,,,,,,,,,,,
1300,SY116,MK组,2021-08-21 00:00:00,2021年8月25日,分离器,4640.00-4680.00,17/100,10.13,27.19,黑色,无气味,0,不透明,黑色沉淀,3.6833,43.6574,24.1513,6.8995,0,0,0,0,78,60.3338,60.8075,0,/,0,83.0762,4.5678,208.7853,286.7853,/,/,5,/,1.11685734739212,0.156773422316754,,-0.345423576981159,,硫酸钠,1.0005,4.766,,,,,,,,,,,,,,,
1301,SY116,MK组,2021-08-28 00:00:00,2021年9月6日,分离器,4640.00-4680.00,17/100,10.25,27.14,黑色,无气味,0,不透明,无,4.6021,21.7693,16.3785,5.6495,0,0,0,0,48,27.1757,24.3814,0,/,0,66.415,7.3023,125.2744,173.2744,/,/,3,/,1.23641493335398,0.356295133092908,,-0.384413406407268,,硫酸钠,0.9988,4.822,,,,,,,,,,,,,,,
1302,SY116,MK组,2021-09-04 00:00:00,2021年9月9日,分离器,4640.00-4680.00,17/100,10.35,27.15,黑色,无气味,0,不透明,黑色沉淀,4.1528,57.0005,157.9959,10.7053,0,0,0,0,230,106,22.9667,0,/,0,102.5734,4.7519,236.292,466.292,/,/,11,/,0.82999087366694,-1.06094382060028,,0.569026053557129,,氯化镁,0.9991,4.781,,,,,,,,,,,,,,,
1303,SY116,MK组,2021-09-11 00:00:00,2021年9月16日,分离器,4640.00-4680.00,17/100-18/100,10.41,0,黑色,无气味,0,不透明,黑色沉淀,2.7298,28.341,20.0016,7.873,0,0,0,0,59,46.6694,26.6625,0,/,0,66.6341,14.6319,154.5979,213.5979,/,/,5,/,0.937310473057386,-0.148367652745803,,0.125614522460783,,氯化镁,0.9987,5.721,,,,,,,,,,,,,,,
1304,SY116,MK组,2021-09-18 00:00:00,2021年9月26日,分离器,4640.00-4680.00,17/100,10.35,27.12,黑色,无气味,0,不透明,无,3.0616,20.7416,15.598,4.7377,0,0,0,0,44,12.0783,12.7247,0,/,0,64.2663,0.6225,89.6918,133.6918,/,/,0,/,2.65055584773123,2.11836780875723,,-1.42239878295867,,碳酸氢钠,0.9987,5.009,,,,,,,,,,,,,,,
1305,SY116,MK组,2021-11-12 00:00:00,2021年11月19日,分离器,4640.00-4680.00,20/100,18.1,28.4,白色,无气味,0,不透明,无,12.6493,64.5755,59.4109,20.781,0,0,0,0,157,93.3918,65.0718,0,/,0,110.8924,11.5681,280.9241,437.9241,/,/,10,/,1.06723374466262,0.130471636712784,,-0.102136858787437,,硫酸钠,1.0029,4.507,,,,,,,,,,,,,,,
1306,SY116,MK组,2021-11-13 00:00:00,2021年11月19日,分离器,4640.00-4680.00,20/100,18.06,27.94,白色,硫化氢味,0,不透明,无,14.3891,107.6903,84.0055,36.9089,0,0,0,0,242.9938,131.282,48.8246,0,/,0,127.0122,1.4554,308.5742,551.568,/,/,8,/,1.26611140107952,0.967481916390821,,-0.319956145909356,,硫酸钠,1.0058,4.521,,,,,,,,,,,,,,,
1307,SY116,MK组,2021-11-14 00:00:00,2021年11月19日,分离器,4640.00-4680.00,20/100,15.92,28.24,白色,无气味,0,不透明,无,10.821,54.1491,26.9662,7.7835,0,0,0,0,100,25.9923,87.0569,0,0,0,100.5681,2.9066,216.5239,316.5239,/,/,9,/,3.21548915238944,0.894384007257842,,-2.50087682538206,,硫酸钠,1.004,4.162,,,,,,,,,,,,,,,
1308,SY116,MK组,2021-11-15 00:00:00,2021年11月25日,分离器,4640.00-4680.00,26/100,9.24,27.51,白色,无气味,0,不透明,无,11.2945,57.0525,34.5155,8.9567,0,0,0,0,111.8192,185,35.7528,0,0,0,88.5184,0,309.2712,421.0904,/,/,9,/,0.475996180963572,-3.66613966217753,,3.65856727684026,,氯化钙,1.0021,4.179,,,,,,,,,,,,,,,
1309,SY116,MK组,2021-11-26 00:00:00,2021-12-01 00:00:00,分离器,4640.00-4680.00,25/100,10.04,26.94,灰白色,无气味,0,不透明,无,4.6109,23.2083,13.348,3.9075,0,0,0,0,45.0747,8,26.518,0,0,0,19.1054,3.149,56.7724,101.8471,/,/,4,/,4.47768831521739,1.41857650030272,,-2.4067697783127,,碳酸氢钠,1.0016,4.08,,,,,,,,,,,,,,,
1310,SY116,MK组,2021-12-02 00:00:00,2021年12月8日,分离器,4640.00-4680.00,18/100,36.76,27.44,灰色,硫化氢味,0,不透明,黑色沉淀,158.051,2247.5455,33108.1486,25096.6375,192.2829,0,0,495.4439,61298.1094,95475.8815,0,0,0,0,86.9341,192.326,95755.1416,157053.251,/,28,22,295,0.0363341774389925,0,,1.23924589394368,,氯化钙,1.1195,2.713,,,,,,,,,,,,,,,
1311,SY116,MK组,2021-12-03 00:00:00,2021年12月8日,分离器,4640.00-4680.00,18/100,37.06,29.18,绿色,硫化氢味,0,不透明,无,146.8459,2221.0388,38216.2272,28938.644,197,0,0,550,70270,108710.8484,0,0,0,0,98.8956,523.8626,109333.6066,179603.6066,/,33,66,283,0.0315343422924462,0,,1.22979245967592,,氯化钙,1.1338,2.466,,,,,,,,,,,,,,,
1312,SY116,MK组,2021-12-04 00:00:00,2021年12月8日,分离器,4640.00-4680.00,18/100,37.09,27.81,黑色,硫化氢味,0,不透明,黑色沉淀,179.9199,2629.3876,43987.4671,33226.0563,301.9343,0,0,666.7418,80991.507,123555.8151,0,0,0,0,83.1079,262.0832,123901.0062,204892.5132,/,26,0,295,0.0328467146343159,0,,1.21571730284752,,氯化钙,1.1522,2.518,,,,,,,,,,,,,,,
1313,SY116,MK组,2021-12-10 00:00:00,2021年12月15日,分离器,4640.00-4680.00,17/100,37.08,28.53,灰绿色,硫化氢味,0,不透明,无,115.9861,2555.6414,26780.4763,20052.8019,166,0,0,522,50193,81670.9695,0,0,0,0,55.7163,343.5646,82070.2504,132263.2504,/,26,38,/,0.0482983974309043,0,,1.31022638586735,,氯化钙,1.1071,2.869,,,,,,,,,,,,,,,
1314,SY116,MK组,2021-12-17 00:00:00,2021-12-21 00:00:00,分离器,4640.00-4680.00,17/100,37.01,27.95,乳白色,硫化氢味,0,不透明,无,142.496,1601.4989,14458.6849,10923.2646,103,0,0,223,27451.9444,37106.9691,0,0,0,0,81.4582,149.2702,37337.6975,64789.6419,/,/,107,/,0.0666149458419799,0,,1.07180743191527,,氯化钙,1.0432,3.671,,,,,,,,,,,,,,,
1315,SY116,MK组,2021-12-25 00:00:00,2021年12月28日,分离器,4640.00-4680.00,17/100,36.8,26.44,灰色,硫化氢味,0,不透明,无,80.2079,1203.7825,6419.0024,4817.0046,60.9077,0,0,118.5716,12699.4767,16456.9924,0,0,0,0,46.1564,118.7779,16621.9267,29321.4034,/,/,70,/,0.11290107416986,0,,1.02446789726298,,氯化钙,1.0238,3.973,,,,,,,,,,,,,,,
1316,SY116,MK组,2021-12-30 00:00:00,2022-01-06 00:00:00,分离器,4640.00-4680.00,15/100,37.12,26.43,白色,硫化氢味,0,不透明,无,54.656,780.15,5390.1619,4061.7207,30.367,1.8556,0,71.3574,10390.2686,14066.0293,0,0,0,0,21.4819,52.6532,14140.1644,24530.433,/,/,46,/,0.0856065730801081,0,,1.07040332609989,,氯化钙,1.0199,3.807,,,,,,,,,,,,,,,
1317,SY116,MK组,2022-01-08 00:00:00,2022年1月12日,分离器,4640.00-4680.00,15/100,37.04,27.06,灰色,硫化氢味,0,不透明,无,10.0361,90.3154,1109.4609,811.5604,12.0443,0,0,16.9946,2050.4117,2745.6027,0,0,0,0,25.8899,14.8566,2786.3492,4836.7609,/,/,17,/,0.0507720423358191,0,,1.08552607453525,,氯化钙,1.0048,3.986,,,,,,,,,,,,,,,
1318,SY116,MK组,2022-01-15 00:00:00,2022-01-20 00:00:00,分离器,4640.00-4680.00,15/100,36.93,27.82,灰黑色,硫化氢味,0,不透明,无,31.8207,337.5067,3013.9508,2258.9609,0,0,0,0,5642.2391,11515,195.8177,0,0,0,27.2564,17.348,11755.4221,17397.6612,/,8,19,81,0.0452396226094509,-75.9135443634212,,1.64513866265825,,氯化钙,1.0135,3.974,,,,,,,,,,,,,,,
1319,SY116,MK组,2022-01-23 00:00:00,2022年1月26日,分离器,4640.00-4680.00,15/100,36.88,28.24,白色,硫化氢味,0,不透明,无,46.119,557.2683,3256.8918,2405.0528,30.7561,7.223,0,60.8131,6364.1241,8436.2664,0,0,0,0,14.6156,14.1332,8465.0152,14829.1393,/,7,21,25,0.101956418365563,0,,1.06481945271479,,氯化钙,1.0109,4.171,,,,,,,,,,,,,,,
1320,SY116,MK组,2022-02-06 00:00:00,2022年2月8日,分离器,4640.00-4680.00,18/100,35.98,10.28,灰色,硫化氢味,0,不透明,无,143.2863,1845.452,16123.6706,12282.2454,100,0,0,255,30750,45364.0659,0,0,/,0,21.4292,48.3792,45433.8743,76183.8743,/,19,22,49,0.0627901178381425,0,,1.17010262744564,,氯化钙,1.0584,4.294,,,,,,,,,,,,,,,
1321,SY116,MK组,2022-02-12 00:00:00,2022年2月15日,分离器,4640.00-4680.00,20/100,36.18,29.5,无色,硫化氢味,0,半透明,无,40.8939,443.5404,2234.8927,1616.1515,52.0784,0,0,75.0339,4462.5908,8490,0,0,0,0,6.3618,4.2698,8500.6316,12963.2224,/,26,4,29,0.0806354493777846,0,,1.63254915911094,,氯化钙,1.0186,4.3,,,,,,,,,,,,,,,
1322,SY116,MK组,2022-02-19 00:00:00,2022年2月22日,分离器,4640.00-4680.00,18/100,36.62,26.29,白色,硫化氢味,0,不透明,无,6.8827,41.6095,210.6175,137.4249,0,0,0,0,397,500.0049,8.3712,0,0,0,15.5393,1.2831,525.1985,922.1985,/,/,1,/,0.12844545862581,-70.3872498553346,,1.07190499317987,,氯化钙,0.9997,4.014,,,,,,,,,,,,,,,
1323,SY116,MK组,2022-02-25 00:00:00,2022年3月2日,分离器,4640.00-4680.00,18/100,36.61,27.05,灰色,硫化氢味,0,不透明,无,200.6859,2088.6554,15169.7012,11430.4422,207.1869,11.5732,0,356.279,29464.5238,50575,0,0,/,0,0,85.2783,50660.2783,80124.8021,/,/,33,87,0.0637428414107331,0,,1.4002994036148,,氯化钙,1.0583,4.93,,,,,,,,,,,,,,,
1324,SY116,MK组,2022-03-03 00:00:00,2022年3月10日,分离器,4640.00-4680.00,18/100,36.52,26.03,白色,无气味,0,不透明,无,12,61,63,19,0,0,0,0,155,92,16,0,0,0,19,15,142,297,/,/,0,/,1.02339319470699,0.18187385180649,,-0.0382892319592611,,硫酸钠,1.0001,4.16,,,,,,,,,,,,,,,
